Manufacture Part Number,Description,Value,Manufacturer,LCSC Part Number,Quantity,Unit Price,Order Price,$4.65
MHT151WDT,"D1, D2, D3, D4, D5, D6, D7, D8,",LED,MEIHUA,C401114,8,$0.11,$0.87,
0297003.WXNV,,3A ATM,Littelfuse,C151092,2,$0.10,$0.20,
0297010.WXNV,,10A ATM,Littelfuse,C151094,2,$0.08,$0.17,
B2B-XH-A(LF)(SN),"J0, J1, J2, J3, J4, J5, J6, J7, J10,",JST-XH2,JST Sales America,C158012,9,$0.04,$0.32,
XHP-2,,JST-XHP-2,JST Sales America,C144401,10,$0.03,$0.27,
SXH-002T-P0.6,,SXH,JST Sales America,C495681,20,$0.07,$1.39,
MTF185D1-205SY3,"J8,",EXPx_IN,MINTRON,C358740,1,$0.23,$0.23,
X6511WV-02H-C30D60,"J9,",5V_In,XKB Connectivity,C706874,1,$0.03,$0.03,
WJ500V-5.08-3P,"J12,",HI_PWR2,Ningbo Kangnex Elec,C72334,1,$0.20,$0.20,
X6511WV-03H-C30D60,"JP0, JP1, JP2, JP3, JP4, JP5, JP6, JP7,",V_SELECT,XKB Connectivity,C706875,8,$0.06,$0.44,
C5305,,V_SEL_JUMPER,BOOMELE(Boom Precision Elec),C5305,8,$0.01,$0.06,
AO3400A,"Q1, Q2, Q3, Q4, Q5, Q6, Q7,",IRLML6344,BORN,C344010,7,$0.06,$0.44,
0603WAF5600T5E,"R1, R2, R3, R4, R13, R14, R15, R22,",560R,UNI-ROYAL(Uniroyal Elec),C23204,8,$0.00,$0.02,
0603WAF1000T5E,"R5, R6, R7, R8, R16, R17, R18,",100R,UNI-ROYAL(Uniroyal Elec),C22775,7,$0.00,$0.01,
0603WAF1003T5E,"R9, R10, R11, R12, R19, R20, R21,",100k,UNI-ROYAL(Uniroyal Elec),C25803,7,$0.00,$0.01,